employee_residence,AVERAGE из salary_in_usd,,experience_level,AVERAGE из salary_in_usd,,remote_ratio,AVERAGE из salary_in_usd,,Job Group,AVERAGE из salary_in_usd
VN,"30 800,00",,EN,"61 643,32",,0,"105 785,40",,Data Analyst,"91 738,71"
US,"150 094,92",,EX,"199 392,04",,50,"80 721,90",,Data Engineer,"116 256,51"
UA,"13 400,00",,MI,"87 793,00",,100,"120 763,19",,Data Scientist,"111 433,34"
TR,"20 096,67",,SE,"138 374,88",,Итого,"110 610,34",,Machine Learning / AI,"100 278,59"
TN,"31 875,00",,Итого,"110 610,34",,,,,Management / Leadership,"157 196,51"
SI,"63 831,00",,,,,,,,Research,"96 967,70"
SG,"104 176,50",,,,,,,,Итого,"110 610,34"
RU,"105 750,00",,,,,,,,,
RS,"25 532,00",,,,,,,,,
RO,"51 419,00",,,,,,,,,
PT,"42 862,50",,,,,,,,,
PR,"160 000,00",,Mean salary,"110 610,34",,,,,,
PL,"56 177,50",,Median salary,"100 000,00",,,,,,
PK,"27 462,83",,Minimum salary,"2 859,00",,,,,,
PH,"45 760,00",,Maximum salary,"600 000,00",,,,,,
NZ,"125 000,00",,,,,,,,,
NL,"60 956,60",,,,,,,,,
NG,"30 000,00",,job_title,COUNTA из job_title,,,,,,
MY,"200 000,00",,Data Scientist,130,,,,,,
MX,"18 185,00",,Data Engineer,121,,,,,,
MT,"28 369,00",,Data Analyst,82,,,,,,
MD,"18 000,00",,Machine Learning Engineer,39,,,,,,
LU,"59 102,00",,Research Scientist,16,,,,,,
KE,"9 272,00",,Data Science Manager,12,,,,,,
JP,"103 537,71",,Data Architect,11,,,,,,
JE,"100 000,00",,Machine Learning Scientist,8,,,,,,
IT,"61 600,00",,Big Data Engineer,8,,,,,,
IR,"4 000,00",,Principal Data Scientist,7,,,,,,
IQ,"100 000,00",,Director of Data Science,7,,,,,,
IN,"37 322,33",,Data Science Consultant,7,,,,,,
IE,"71 444,00",,Data Analytics Manager,7,,,,,,
HU,"35 997,00",,AI Scientist,7,,,,,,
HR,"45 618,00",,ML Engineer,6,,,,,,
HN,"20 000,00",,Lead Data Engineer,6,,,,,,
HK,"66 022,00",,Computer Vision Engineer,6,,,,,,
GR,"56 445,75",,BI Data Analyst,6,,,,,,
GB,"81 470,07",,Head of Data,5,,,,,,
FR,"59 886,61",,Data Engineering Manager,5,,,,,,
ES,"57 593,40",,Business Data Analyst,5,,,,,,
EE,"32 974,00",,Applied Data Scientist,5,,,,,,
DZ,"100 000,00",,Head of Data Science,4,,,,,,
DK,"37 252,50",,Data Analytics Engineer,4,,,,,,
DE,"85 336,67",,Applied Machine Learning Scientist,4,,,,,,
CZ,"69 999,00",,Analytics Engineer,4,,,,,,
CO,"21 844,00",,Principal Data Engineer,3,,,,,,
CN,"43 331,00",,Machine Learning Infrastructure Engineer,3,,,,,,
CL,"40 038,00",,Machine Learning Developer,3,,,,,,
CH,"122 346,00",,Lead Data Scientist,3,,,,,,
CA,"97 191,63",,Lead Data Analyst,3,,,,,,
BR,"54 634,67",,Data Science Engineer,3,,,,,,
BO,"75 000,00",,Computer Vision Software Engineer,3,,,,,,
BG,"80 000,00",,Product Data Analyst,2,,,,,,
BE,"85 699,00",,Principal Data Analyst,2,,,,,,
AU,"108 042,67",,Financial Data Analyst,2,,,,,,
AT,"76 738,67",,Director of Data Engineering,2,,,,,,
AR,"60 000,00",,Cloud Data Engineer,2,,,,,,
AE,"100 000,00",,Staff Data Scientist,1,,,,,,
Итого,"110 610,34",,NLP Engineer,1,,,,,,
,,,Marketing Data Analyst,1,,,,,,
,,,Machine Learning Manager,1,,,,,,
,,,Lead Machine Learning Engineer,1,,,,,,
,,,Head of Machine Learning,1,,,,,,
,,,Finance Data Analyst,1,,,,,,
,,,ETL Developer,1,,,,,,
,,,Data Specialist,1,,,,,,
,,,Data Analytics Lead,1,,,,,,
,,,Big Data Architect,1,,,,,,
,,,3D Computer Vision Researcher,1,,,,,,
,,,Итого,565,,,,,,
