work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Job Group
2020,MI,FT,Data Scientist,"79 833,00",DE,0,DE,L,Data Scientist
2020,SE,FT,Machine Learning Scientist,"260 000,00",JP,0,JP,S,Machine Learning / AI
2020,SE,FT,Big Data Engineer,"109 024,00",GB,50,GB,M,Data Engineer
2020,MI,FT,Product Data Analyst,"20 000,00",HN,0,HN,S,Data Analyst
2020,SE,FT,Machine Learning Engineer,"150 000,00",US,50,US,L,Machine Learning / AI
2020,EN,FT,Data Analyst,"72 000,00",US,100,US,L,Data Analyst
2020,SE,FT,Lead Data Scientist,"190 000,00",US,100,US,S,Data Scientist
2020,MI,FT,Data Scientist,"35 735,00",HU,50,HU,L,Data Scientist
2020,MI,FT,Business Data Analyst,"135 000,00",US,100,US,L,Data Analyst
2020,SE,FT,Lead Data Engineer,"125 000,00",NZ,50,NZ,S,Data Engineer
2020,EN,FT,Data Scientist,"51 321,00",FR,0,FR,S,Data Scientist
2020,MI,FT,Data Scientist,"40 481,00",IN,0,IN,L,Data Scientist
2020,EN,FT,Data Scientist,"39 916,00",FR,0,FR,M,Data Scientist
2020,MI,FT,Lead Data Analyst,"87 000,00",US,100,US,L,Data Analyst
2020,MI,FT,Data Analyst,"85 000,00",US,100,US,L,Data Analyst
2020,MI,FT,Data Analyst,"8 000,00",PK,50,PK,L,Data Analyst
2020,EN,FT,Data Engineer,"41 689,00",JP,100,JP,S,Data Engineer
2020,SE,FT,Big Data Engineer,"114 047,00",PL,100,GB,S,Data Engineer
2020,EN,FT,Data Science Consultant,"5 707,00",IN,50,IN,M,Research
2020,MI,FT,Lead Data Engineer,"56 000,00",PT,100,US,M,Data Engineer
2020,MI,FT,Machine Learning Engineer,"43 331,00",CN,0,CN,M,Machine Learning / AI
2020,MI,FT,Product Data Analyst,"6 072,00",IN,100,IN,L,Data Analyst
2020,SE,FT,Data Engineer,"47 899,00",GR,50,GR,L,Data Engineer
2020,MI,FT,BI Data Analyst,"98 000,00",US,0,US,M,Data Analyst
2020,MI,FT,Lead Data Scientist,"115 000,00",AE,0,AE,L,Data Scientist
2020,EX,FT,Director of Data Science,"325 000,00",US,100,US,L,Management / Leadership
2020,EN,FT,Research Scientist,"42 000,00",NL,50,NL,L,Research
2020,SE,FT,Data Engineer,"33 511,00",MX,0,MX,S,Data Engineer
2020,EN,CT,Business Data Analyst,"100 000,00",US,100,US,L,Data Analyst
2020,SE,FT,Machine Learning Manager,"117 104,00",CA,50,CA,L,Management / Leadership
2020,MI,FT,Data Engineering Manager,"59 303,00",DE,100,DE,S,Management / Leadership
2020,EN,FT,Big Data Engineer,"70 000,00",US,100,US,L,Data Engineer
2020,SE,FT,Data Scientist,"68 428,00",GR,100,US,L,Data Scientist
2020,MI,FT,Research Scientist,"450 000,00",US,0,US,M,Research
2020,MI,FT,Data Analyst,"46 759,00",FR,50,FR,L,Data Analyst
2020,MI,FT,Data Engineer,"74 130,00",AT,50,AT,L,Data Engineer
2020,MI,FT,Data Science Consultant,"103 000,00",US,100,US,L,Research
2020,EN,FT,Machine Learning Engineer,"250 000,00",US,50,US,L,Machine Learning / AI
2020,EN,FT,Data Analyst,"10 000,00",NG,100,NG,S,Data Analyst
2020,EN,FT,Machine Learning Engineer,"138 000,00",US,100,US,S,Machine Learning / AI
2020,MI,FT,Data Scientist,"45 760,00",PH,100,US,S,Data Scientist
2020,EX,FT,Data Engineering Manager,"79 833,00",ES,50,ES,L,Management / Leadership
2020,MI,FT,Machine Learning Infrastructure Engineer,"50 180,00",PT,0,PT,M,Machine Learning / AI
2020,MI,FT,Data Engineer,"106 000,00",US,100,US,L,Data Engineer
2020,MI,FT,Data Engineer,"112 872,00",GB,50,GB,L,Data Engineer
2020,EN,PT,ML Engineer,"15 966,00",DE,100,DE,S,Machine Learning / AI
2020,MI,FT,Data Scientist,"76 958,00",GB,100,GB,S,Data Scientist
2020,SE,FT,Data Engineer,"188 000,00",US,100,US,L,Data Engineer
2020,MI,FT,Data Scientist,"105 000,00",US,100,US,L,Data Scientist
2020,MI,FT,Data Engineer,"70 139,00",FR,50,FR,L,Data Engineer
2020,EN,FT,Data Analyst,"6 072,00",IN,0,IN,S,Data Analyst
2020,EN,FT,Data Analyst,"91 000,00",US,100,US,L,Data Analyst
2020,EN,FT,AI Scientist,"45 896,00",DK,50,DK,S,Machine Learning / AI
2020,EN,FT,Data Engineer,"54 742,00",PK,100,DE,L,Data Engineer
2020,SE,FL,Computer Vision Engineer,"60 000,00",RU,100,US,S,Machine Learning / AI
2020,SE,FT,Principal Data Scientist,"148 261,00",DE,100,DE,M,Data Scientist
2020,MI,FT,Data Scientist,"38 776,00",ES,100,ES,M,Data Scientist
2020,MI,FT,Data Scientist,"118 000,00",US,100,US,M,Data Scientist
2020,SE,FT,Data Scientist,"120 000,00",US,50,US,L,Data Scientist
2020,MI,FT,Data Scientist,"138 350,00",US,100,US,M,Data Scientist
2020,MI,FT,Data Engineer,"110 000,00",US,100,US,L,Data Engineer
2020,MI,FT,Data Engineer,"130 800,00",ES,100,US,M,Data Engineer
